abbreviation	name	language	reference	identifier	emotions	comments	stimulus_type	fully_crossed_design	different_emo_intensity	has_semantic_meaning	num_speakers	subjects	num_utterances	modality	total_files	validation_available	num_raters	URL	Year	IDX	Selection	Reason	Accessable	Access granted
SEmo	Socrates emotional speech database	Greek	Fakotakis, 2004		Anger, fear, joy, sadness, neutral	10 single words, 20 short sentences, 25 long sentences, 12 passages of fluent speech, one female speaker.	Recordings of a professional actress reading semantically neutral words and sentences in different emotions			-			-				-	http://www.wcl.ece.upatras.gr/ai/resources/demo-emotion-recognition-from-speech	2004	18	DISCARDED	Wrong language	NO	NO
BELFAST	BELFAST naturalistic emotion database	English	Douglas-Cowie, 2000		Arousal, Valence	laboratory-based emotion inducing tasks; See also http://www.psych.qub.ac.uk/BINED/Default.aspx	-		FALSE	TRUE	60	Native	UNKNOWN	audio+video	UNKNOWN	TRUE	self report	https://belfast-naturalistic-db.sspnet.eu	2000	3	DISCARDED	Not enough labels	ON REQUEST	ON REQUEST
	LDC Emotional prosody speech-transcripts	English	Liberman, 2002		Anxiety, boredom, cold anger, contempt, despair, disgust, elation, happy, Hot Anger, interest, panic, pride, sadness, shame, neutral	Only a subpart available;  eight actors (five females, thre males), 44 utterances used by Liscombe et al. (2003), 2,433 utterances used by Yacoub et al. (2003)	Professional actors reading short (4-syllables each) dates and numbers			-								http://www.ldc.upenn.edu/Catalog/CatalogEntry.jsp?catalogId=LDC2002S28	2002	12	DISCARDED	Paid database	PAID	NO
SUSAS	Speech under simulated and actual stress	English	Hansen, Bou-Ghazale 1997		Stress	-	-			-								http://www.ldc.upenn.edu/Catalog/CatalogEntry.jsp?catalogId=LDC99S78	1997	19	DISCARDED	Too noisy	PAID	NO
EMO-DB	Berlin database of emotional speech	German	Burkhardt, 2005	DOI:10.1.1.130.8506	Anger, Boredom, Disgust, Fear, Joy, Sadness		Sentences			TRUE	10	Actor	10	audio	535		20	http://pascal.kgw.tu-berlin.de/emodb/index-1280.html	2005	4	DISCARDED	Wrong language	OPEN ACCESS	YES
	Groningen corpus S0020ELRA(1996) (see http://www.elra.info/).	Dutch	Choukri, 2003		NONE	20 h of speech, 238 speakers.	Recordings of speakers reading short texts, sentences, numbers, monosyllabic words, long vowels and an extended word list			-			-				-	-	2003	58	DISCARDED	Wrong language	-	-
FAU AUBO	FAU Aibo emotion corpus	German	Steidl, 2009		NONE	Children interacting with Aibo robot; author passed away	-											http://www5.informatik.uni-erlangen.de/en/our-team/steidl-stefan/fau-aibo-emotion-corpus/	2009	8	DISCARDED	Wrong language	ON REQUEST	ON REQUEST
VAM	Vera-Am-Mittag: audio spontaneous speech database	German	Grimm, 2008	DOI:10.1109/ICME.2008.4607572	Arousal, Dominance, Valence	The AAAC removed the file								audio+video				http://emotion-research.net/download/vam	2008	20	DISCARDED	Wrong language	NO	NO
IEMOCAP	Interactive emotional dyadic motion capture	English	Busso, 2008		Happiness, Anger, Sadness, Neutral, Frustration	-	-			-								https://sail.usc.edu/iemocap/release_form.php	2008	11	REQUEST	-	ON REQUEST	ON REQUEST
HUMAINE	HUMAINE database	English	Douglas-Cowie, 2007	DOI:10.1007/978-3-642-15184-2_14	Arousal, Valence	-	Sentences		FALSE	TRUE		Native		audio+video				https://humaine-db.sspnet.eu	2007	10	REQUEST	-	ON REQUEST	ON REQUEST
SmartKom	SmartKom	German	Steininger, 2002		NONE	-	-											http://www.smartkom.org	2002	17	DISCARDED	Wrong language	OPEN ACCESS	YES
AVIC	Audiovisual Interest Corpus	English	Schuller, 2009		Boredom, Neutral, Joy	Scenario	Vocalizations			TRUE	21	FALSE	3002		996		NA	-	2009	2	DISCARDED	Not enough labels	NO	UNKNOWN
eNTERFACE	eNTERFACE	English	Martin, 2006	DOI:10.1109/ICDEW.2006.145	Anger, Disgust, Fear, Happiness, Sad, Surprise	Poor quality	Sentences			TRUE	44	Actor	5	audio+video	1320		NA	http://www.enterface.net/enterface05/	2006	7	APPROVED	-	OPEN ACCESS	YES
