abbreviation	name	language	source	identifier	emotions	available	num_emo	contains_all_basic	comments	stimulus_type	fully_crossed_design	different_emo_intensity	has_semantic_meaning	num_speakers	subjects	num_utterances	modality	total_files	validation_available	num_raters	reference	URL	Year	IDX	Selection	Reason	Accessable	Access granted
BELFAST	BELFAST naturalistic emotion database	English	juslin2017	Douglas-Cowie2000	Arousal, Valence		2	FALSE	laboratory-based emotion inducing tasks; See also http://www.psych.qub.ac.uk/BINED/Default.aspx	-		FALSE	TRUE	60	Native	UNKNOWN	audio+video	UNKNOWN	TRUE	self report	Douglas-Cowie, 2000	https://belfast-naturalistic-db.sspnet.eu	2000	3	DISCARDED	Not enough labels	ON REQUEST	ON REQUEST
BINED	BELFAST naturalistic emotion database	English	juslin2017	DOI:10.1109/T-AFFC.2011.26	Arousal, Valence		2	FALSE	laboratory-based emotion inducing tasks; See also http://www.psych.qub.ac.uk/BINED/Default.aspx	Sentences		FALSE	TRUE	60	Native	UNKNOWN	audio+video	UNKNOWN		self report	Sneddon, 2007	https://belfast-naturalistic-db.sspnet.eu	2007	31	DISCARDED	Not enough labels	ON REQUEST	ON REQUEST
EMO-DB	Berlin database of emotional speech	German	juslin2017	DOI:10.1.1.130.8506	anger, boredom, disgust, fear, joy, sad		6	FALSE		Sentences			TRUE	10	Actor	10	audio	535		20	Burkhardt, 2005	http://pascal.kgw.tu-berlin.de/emodb/index-1280.html	2005	4	DISCARDED	Wrong language	OPEN ACCESS	YES
VENEC	cross-cultural database VENEC	English	juslin2017	Laukka2016	Affection, anger, amusement, Contempt, disgust, Distress, fear, Guilt, Happiness, Interest, Lust, Negative Surprise, Positive Surprise, Pride, Relief, sad, Serenity, Shame		18	FALSE	Subset of: Cross cultural; 5 cultures (India, Singapore, Australia, USA, Kenya); 3 levels of intensity, plus 1 neutral expression per actor; we only have a subset	Sentences		TRUE	TRUE	20	Actor	2	audio	1020		Not reported	Laukka, 2016	-	2016	5	REQUEST	-	-	UNKNOWN
DIT IE	DIT IE	English	juslin2017	Cullen2008	Arousal, Valence		2	FALSE	-	Sentences			-	160	Native	-	audio				Cullen, 2008	-	2008	32	DISCARDED	Not enough labels	-	-
eNTERFACE	eNTERFACE	English	juslin2017	DOI:10.1109/ICDEW.2006.145	anger, disgust, fear, Happiness, sad, Surprise		6	TRUE	Poor quality	Sentences			TRUE	44	Actor	5	audio+video	1320		NA	Martin, 2006	http://www.enterface.net/enterface05/	2006	7	APPROVED	-	OPEN ACCESS	YES
GEMEP-FERA2011	GEMEP	French	juslin2017	DOI:10.1037/a0025827	admiration, amusement, anxiety, cold anger, contempt, despair, disgust, elation, hot anger, interest, panic, fear, pleasure, pride, relief, sadness, shame, surprise, tenderness		18	FALSE						10	Actor		audio+video	1463	TRUE		Bänziger, 2012	https://gemep-db.sspnet.eu	2012	9	DISCARDED	Wrong language	ON REQUEST	ON REQUEST
MAP_HAWK	Hawk et al. (2009)	English	juslin2017	DOI:10.1037/a0015178	anger, Contempt, disgust, Embarrassment, fear, joy, Pride, sad, Surprise		9	FALSE	One single sentence	Sentence			?	8	Actor		audio	72			Hawk, 2009	-	2009	28	DISCARDED	No sentences	ON REQUEST	ON REQUEST
HUMAINE	HUMAINE database	English	juslin2017	DOI:10.1007/978-3-642-15184-2_14	Arousal, Valence		2	FALSE	-	Sentences		FALSE	TRUE		Native		audio+video				Douglas-Cowie, 2007	https://humaine-db.sspnet.eu	2007	10	REQUEST	-	ON REQUEST	ON REQUEST
MAP_JUSLIN_LAUKKA_2001	Juslin and Laukka (2001)	English, Swedish	juslin2017	DOI:10.1037/1528-3542.1.4.381	anger, disgust, fear, Happiness, sad		5	FALSE	Differing level of emotional intensity	Sentences		TRUE		8	Actor	15	audio+video	160			Juslin, Laukka, 2001	-	2001	29	DISCARDED	Too few sentences	ON REQUEST	ON REQUEST
